"PMDBID","PRIDE.ID","PMDB.tissue","PRIDE.tissues","title","projectDescription","publicationDate","submissionType","numAssays","species","instrumentNames","ptmNames","projectTags"
"PMDX002775","PXD002775","blood vessel","renal cortex;neuron;artery;brain;epithelial cell;cerebellum;prostate epithelium cell line;cerebral cortex;kidney;parathyroid gland;keratinocyte;cell culture;pancreas;renal medulla;aorta","Extrarenal α-klotho expression in human tissues","α-Klotho has emerged as a powerful regulator of the ageing proce","2015-10-13","PARTIAL","0","Homo sapiens (Human)","Q Exactive","No PTMs are included in the dataset","Biomedical"
"PMDX002775","PXD002775","brain","renal cortex;neuron;artery;brain;epithelial cell;cerebellum;prostate epithelium cell line;cerebral cortex;kidney;parathyroid gland;keratinocyte;cell culture;pancreas;renal medulla;aorta","Extrarenal α-klotho expression in human tissues","α-Klotho has emerged as a powerful regulator of the ageing proce","2015-10-13","PARTIAL","0","Homo sapiens (Human)","Q Exactive","No PTMs are included in the dataset","Biomedical"
"PMDX002775","PXD002775","heart","renal cortex;neuron;artery;brain;epithelial cell;cerebellum;prostate epithelium cell line;cerebral cortex;kidney;parathyroid gland;keratinocyte;cell culture;pancreas;renal medulla;aorta","Extrarenal α-klotho expression in human tissues","α-Klotho has emerged as a powerful regulator of the ageing proce","2015-10-13","PARTIAL","0","Homo sapiens (Human)","Q Exactive","No PTMs are included in the dataset","Biomedical"
"PMDX002775","PXD002775","kidney","renal cortex;neuron;artery;brain;epithelial cell;cerebellum;prostate epithelium cell line;cerebral cortex;kidney;parathyroid gland;keratinocyte;cell culture;pancreas;renal medulla;aorta","Extrarenal α-klotho expression in human tissues","α-Klotho has emerged as a powerful regulator of the ageing proce","2015-10-13","PARTIAL","0","Homo sapiens (Human)","Q Exactive","No PTMs are included in the dataset","Biomedical"
"PMDX002775","PXD002775","neck","renal cortex;neuron;artery;brain;epithelial cell;cerebellum;prostate epithelium cell line;cerebral cortex;kidney;parathyroid gland;keratinocyte;cell culture;pancreas;renal medulla;aorta","Extrarenal α-klotho expression in human tissues","α-Klotho has emerged as a powerful regulator of the ageing proce","2015-10-13","PARTIAL","0","Homo sapiens (Human)","Q Exactive","No PTMs are included in the dataset","Biomedical"
"PMDX002775","PXD002775","pancreas","renal cortex;neuron;artery;brain;epithelial cell;cerebellum;prostate epithelium cell line;cerebral cortex;kidney;parathyroid gland;keratinocyte;cell culture;pancreas;renal medulla;aorta","Extrarenal α-klotho expression in human tissues","α-Klotho has emerged as a powerful regulator of the ageing proce","2015-10-13","PARTIAL","0","Homo sapiens (Human)","Q Exactive","No PTMs are included in the dataset","Biomedical"
"PMDX002783","PXD002783","brain","brain","Protein Profile Changes in the Frontotemporal Lobes in Human Severe Traumatic Brain Injury","Severe traumatic brain injury (sTBI) is a serious public health ","2016-04-15","PARTIAL","0","Homo sapiens (Human)","Q Exactive","TMT6plex-126 reporter+balance reagent acylated residue","Human Proteome Project;Biomedical"
"PMDX002813","PXD002813","brain","brain","Human prion disease iTRAQ","Human prion diseases are fatal neurodegenerative disorders chara","2015-10-01","PARTIAL","0","Homo sapiens (Human)","Q Exactive","iTRAQ8plex-116 reporter+balance reagent acylated residue","Biomedical"
"PMDX002959","PXD002959","brain","brain","Determining composition of micron-scale protein deposits in neurodegenerative disease by spatially targeted optical microproteomics","Spatially targeted optical microproteomics (STOMP) is a novel pr","2015-11-18","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)","LTQ Orbitrap Velos","No PTMs are included in the dataset","Biomedical"
"PMDX003027","PXD003027","brain","brain","AD+CVD temporal lobe proteome","Unbiased discovery-driven quantitative proteomics was performed ","2016-04-07","PARTIAL","0","Homo sapiens (Human)","QSTAR","iTRAQ4plex-116 reporter+balance reagent acylated residue","Biomedical"
"PMDX003071","PXD003071","brain","cell culture;brain","Phosphoproteomics reveals that Parkinson’s disease kinase LRRK2 regulates a subset of Rab GTPases","Mutations in Park8, encoding for the multidomain Leucine-rich re","2016-02-04","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)","LTQ Orbitrap;Q Exactive","phosphorylated residue",""
"PMDX003289","PXD003289","brain","brain","Dysregulation of Cell-Cell Interaction in Brain Arteriovenous Malformations: A Quantitative Proteomics Study","Object. Detailed and exact mechanisms underlying brain arteriove","2017-01-20","PARTIAL","0","Homo sapiens (Human)","Q Exactive","iodoacetamide derivatized residue;TMT6plex-126 reporter+balance reagent acylated residue","Biomedical"
"PMDX003422","PXD003422","non tissue","kidney;liver;brain","A proteomics approach to the protein normalization problem","The approach suggested here can be used more widely to determine","2016-06-20","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)","LTQ Orbitrap","No PTMs are included in the dataset","Technical"
"PMDX003422","PXD003422","kidney","kidney;liver;brain","A proteomics approach to the protein normalization problem","The approach suggested here can be used more widely to determine","2016-06-20","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)","LTQ Orbitrap","No PTMs are included in the dataset","Technical"
"PMDX003422","PXD003422","liver","kidney;liver;brain","A proteomics approach to the protein normalization problem","The approach suggested here can be used more widely to determine","2016-06-20","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)","LTQ Orbitrap","No PTMs are included in the dataset","Technical"
"PMDX003519","PXD003519","brain","brain","Single Cell Immuno-laser Microdissection Coupled to Label-free Proteomics to Reveal the Proteotypes of Human Brain Cells After Ischemia","Cerebral ischemia entails rapid tissue damage in the affected br","2017-12-04","COMPLETE","8","Homo sapiens (Human)","LTQ Orbitrap","Carbamidomethyl;Oxidation","Biomedical"
"PMDX003596","PXD003596","non tissue","cell culture;brain","Inhibitory effect of miR-183 on MCM family members","MYCN and HDAC2 jointly repress the transcription of tumor suppre","2016-06-01","PARTIAL","0","Homo sapiens (Human)","LTQ Orbitrap Velos","iodoacetamide derivatized residue;monohydroxylated residue;acetylated residue","Biological"
"PMDX003733","PXD003733","brain","liver;brain","Quantitative evaluation of FASP and MED FASP protocols","In this work we re-evaluate FASP and the related Multienzyme dig","2016-04-28","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)","LTQ Orbitrap","No PTMs are included in the dataset","Technical"
"PMDX003733","PXD003733","liver","liver;brain","Quantitative evaluation of FASP and MED FASP protocols","In this work we re-evaluate FASP and the related Multienzyme dig","2016-04-28","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)","LTQ Orbitrap","No PTMs are included in the dataset","Technical"
"PMDX003790","PXD003790","non tissue","cell culture;brain","HLA peptides (LC-MSMS) induced by Decitabine in Glioblastoma cell lines","Treatment of cancer cells with anti-cancer drugs often fails to ","2016-07-18","PARTIAL","0","Homo sapiens (Human)","Q Exactive","monohydroxylated residue;acetylated residue","Human Immuno-Peptidome Project (HUPO-HIPP);Biology/Disease-Driven Human Proteome Project (B/D-HPP);Human Proteome Project;Biomedical"
"PMDX004010","PXD004010","brain","brain","JUMPg: an Integrative Proteogenomics Pipeline Identifying Unannotated Proteins in Human Brain and Cancer Cells","Proteogenomics is an emerging approach to improve gene annotatio","2017-02-20","PARTIAL","0","Homo sapiens (Human)","Q Exactive","iodoacetamide derivatized residue","Biomedical"
"PMDX004075","PXD004076","brain","brain","Spatiotemporal proteomic profiling of human cerebral development","We utilize a rapid shotgun LFQ MS method to profile four regions","2017-07-14","PARTIAL","0","Homo sapiens (Human)","Q Exactive","No PTMs are included in the dataset","Biomedical"
"PMDX004075","PXD005065","brain","brain","FFPE LFQ proteomics of Human Cerebral Development and CMV Encephalitis Fetal Brains","We utilize a rapid shotgun FFPE LFQ MS method to profile four re","2017-07-14","PARTIAL","0","Homo sapiens (Human)","Q Exactive","iodoacetamide derivatized residue;phosphorylated residue;acetylated residue","Biological;Biomedical"
"PMDX004143","PXD004143","brain","brain","Allele-Specific Protein Abundance in Human Brain","We describe a method for identifying peptides that result from m","2017-07-31","PARTIAL","0","Homo sapiens (Human)","Q Exactive","iodoacetamide derivatized residue;monohydroxylated residue;deamidated residue","Biological;Biomedical"
"PMDX004190","PXD004190","non tissue","cell culture;brain","Quantitative GTPase affinity purification identifies Rho family protein interaction partners","Although Rho GTPases are essential molecular switches involved i","2016-12-23","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)","LTQ Orbitrap;Q Exactive","iodoacetamide derivatized residue;acetylated residue",""
"PMDX004437","PXD004437","brain","brain","Evaluation of Non-Supervised MALDI Mass Spectrometry Imaging Combined to MicroProteomics for Glioma Grade III Classification","An integrated diagnosis using molecular features is recommended ","2016-12-13","PARTIAL","0","Homo sapiens (Human)","Q Exactive","No PTMs are included in the dataset","Technical;Biomedical"
"PMDX004499","PXD004499","brain","brain","Human temporal neocortex brain LC-MS","We used label-free shotgun mass spectrometry to analyze temporal","2016-09-29","PARTIAL","0","Homo sapiens (Human)","LTQ FT","iodoacetamide derivatized residue;monohydroxylated residue;acetylated residue","Biomedical"
"PMDX004628","PXD004628","non tissue","liver;cell culture;brain","Highly Multiplexed Quantitative Mass Spectrometry Analysis of Ubiquitylomes","Systems-wide quantitative analysis of ubiquitylomes has proven t","2016-10-10","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)","Orbitrap Fusion","ubiquitination signature tetrapeptidyl lysine",""
"PMDX004628","PXD004628","liver","liver;cell culture;brain","Highly Multiplexed Quantitative Mass Spectrometry Analysis of Ubiquitylomes","Systems-wide quantitative analysis of ubiquitylomes has proven t","2016-10-10","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)","Orbitrap Fusion","ubiquitination signature tetrapeptidyl lysine",""
"PMDX004867","PXD004867","brain","brain","The human amyloid beta peptide interactome","The amyloid beta (Aβ) peptide represents a 37 to 49 amino acids ","2017-07-05","PARTIAL","0","Homo sapiens (Human)","Orbitrap Fusion ETD","S-pyridylethyl-L-cysteine;phosphorylated residue;monohydroxylated residue;deamidated residue","Biological;Biomedical"
"PMDX004930","PXD004930","brain","brain","Human intracranial tumors LC-MS/MS","We found the reality that each Coomassie blue-stained 2D gel spo","2017-12-11","PARTIAL","0","Homo sapiens (Human)","LTQ Orbitrap Velos","No PTMs are included in the dataset",""
"PMDX004987","PXD004987","brain","brain","Proteomic characterization of neuromelanin granules isolated from human substantia nigra by laser-microdissection","Neuromelanin is a complex polymer pigment found primarily in the","2016-12-22","COMPLETE","9","Homo sapiens (Human)","LTQ Orbitrap","Carbamidomethyl;Oxidation","Human Brain Proteome Project (HUPO_HBPP) (B/D-HPP);Biological"
"PMDX005119","PXD005119","brain","brain","Extraordinary Diversity of Amyloid-beta Proteoforms in Human Alzheimer's Disease Brain","Amyloid-beta (Aβ) plays a key role in the neuropathogenesis of A","2017-09-04","PARTIAL","0","Homo sapiens (Human)","LTQ Orbitrap","iodoacetamide derivatized residue;monohydroxylated residue","Biomedical"
"PMDX005119","PXD006552","brain","brain","Diversity of Amyloid-beta Proteoforms in the Alzheimer's Disease Brain","Amyloid-beta (Aβ) plays a key role in the pathogenesis of Alzhei","2017-08-28","COMPLETE","1","Homo sapiens (Human)","Orbitrap Fusion","Dimethyl;Ammonium;Carbamidomethyl;Acetyl;Deamidated;Ethyl;Pyridylethyl;Glycosyl;Cation:Na;Formyl;Glu->pyro-Glu;Methyl;Dehydrated;Amidated;Oxidation;Sulfo;Trioxidation;Carboxy","Biomedical"
"PMDX005230","PXD009792","non tissue","liver;brain","Global quantitative proteomics of mouse brain structures reveals significant alterations in expression of proteins involved in neuronal plasticity during aging","Aging is believed to be the result of alterations of protein exp","2018-07-03","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)","Q Exactive","No PTMs are included in the dataset","Biological"
"PMDX005230","PXD009792","liver","liver;brain","Global quantitative proteomics of mouse brain structures reveals significant alterations in expression of proteins involved in neuronal plasticity during aging","Aging is believed to be the result of alterations of protein exp","2018-07-03","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)","Q Exactive","No PTMs are included in the dataset","Biological"
"PMDX005245","PXD005245","brain","brain","Quantitative proteomic analysis of glioblastoma subpopulations","Three glioblastoma subpopulations were analyzed by quantitative ","2018-03-08","PARTIAL","0","Homo sapiens (Human)","Orbitrap Fusion ETD","4x(2)H labeled dimethylated residue;dimethylated residue;iodoacetamide derivatized residue;2x(13)C","Biomedical"
"PMDX005319","PXD005319","brain","brain","Olfactory bulb proteomics in human Alzheimer's disease","Olfactory dysfunction is among the earliest features of Alzheime","2018-01-16","PARTIAL","0","Homo sapiens (Human)","TripleTOF 5600","iodoacetamide derivatized residue;monohydroxylated residue","Biological;Biomedical"
"PMDX005334","PXD005334","non tissue","cell culture;brain","Anti-Warburg effect elicited by mitochondrial biogenesis drives differentiation of glioblastoma cells into astroglial cells","Glioblastoma (GBM) is among the most aggressive of human cancers","2017-01-17","PARTIAL","0","Homo sapiens (Human)","TripleTOF 5600","iTRAQ8plex-116 reporter+balance reagent acylated residue","Biological;Biomedical"
"PMDX005445","PXD005445","brain","brain","CEGS Proteomics","Here we exploit label-free quantitative tandem mass-spectrometry","2018-01-09","PARTIAL","0","Homo sapiens (Human)","Q Exactive","iodoacetamide derivatized residue;monohydroxylated residue;acetylated residue","Biological"
"PMDX005567","PXD005567","non tissue","HEK-293 cell;brain","Kv7.2 LC-MSMS","Voltage-gated Kv7.2 potassium channels regulate neuronal excitab","2017-08-24","COMPLETE","28","Homo sapiens (Human);Rattus norvegicus (Rat)","Bruker Daltonics micrOTOF series;Bruker Daltonics amaZon series","Dimethyl;Methyl;Phospho;Oxidation","Biological"
"PMDX005629","PXD005629","brain","brain","A proteomic analysis of human olfactory bulb","Olfactory sensory neurons distinguish a large variety of odor mo","2017-08-23","PARTIAL","0","Homo sapiens (Human)","Orbitrap Fusion ETD;LTQ Orbitrap;6340 Ion Trap LC/MS;autoflex;ultraflex;maXis;LTQ Orbitrap Velos;LCQ Classic;LTQ;4800 Proteomics Analyzer;Q-Tof ultima;LTQ FT;6220 Time-of-Flight LC/MS;TripleTOF 5600;Synapt MS;6520 Quadrupole Time-of-Flight LC/MS;6410 Triple Quadrupole LC/MS;MALDI Synapt MS;LTQ Orbitrap Elite;Q TRAP;4700 Proteomics Analyzer;Q Exactive;QSTAR","iodoacetamide derivatized residue;monohydroxylated residue","Biological"
"PMDX005753","PXD005753","brain","brain","PTMs of HTT protein","Post-translational modifications (PTMs) of proteins regulate var","2017-06-29","COMPLETE","6","Homo sapiens (Human);Mus musculus (Mouse)","Q Exactive","Carboxymethyl;Ammonium;Pro->pyro-Glu;Benzoyl;O-pinacolylmethylphosphonate;Didehydro;Met->Hsl;CarboxymethylDTT;Methylthio;Dioxidation;Methyl;CarbamidomethylDTT;LG-anhyropyrrole;2-succinyl;SMA;Biotin;Carbamyl;Trp->Hydroxykynurenin;NA-LNO2;CAMthiopropanoyl;Glucuronyl;Formyl;dHex;Thiophospho;glycidamide;BADGE;LG-anhydrolactam;Phospho;Tyr->Dha;Ethylphosphate;Ethyl;Pyridylethyl;Cation:Fe[II];Gln->pyro-Glu;HNE-Delta:H(2)O;Cyano;Carbamidomethyl;trifluoro;Pyridylacetyl;AEBS;Iminobiotin;Amidine;Iodo;Dehydrated;Cation:K;Hydroxycinnamyl;Cation:Zn[II];Deoxy;Diethylphosphate;Trimethyl;Cytopiloyne+water;Cation:Mg[II];GlycerylPE;Nitro;AEC-MAEC;Thioacyl;EDT-maleimide-PEO-biotin;HexNAc;Glucosylgalactosyl;Galactosyl;Pyro-carbamidomethyl;Trioxidation;DeStreak;Cation:Ca[II];Lys->Allysine;Trp->Kynurenin;Cation:Na;CHDH;Ammonia-loss;Hex(1)HexNAc(1)NeuAc(2);Cys->Oxoalanine;Cytopiloyne;PyMIC;Acetyl;Deamidated;O-Isopropylmethylphosphonate;GlyGly;3sulfo;Glu->pyro-Glu;Hex(1)HexNAc(1)NeuAc(1);Oxidation;Trp->Oxolactone;4-ONE;NO_SMX_SMCT;Ethanolamine;BHTOH;PEITC;sulfo+amino;Dethiomethyl;BITC;Propionamide;MercaptoEthanol;Methylmalonylation;Hep;DAET;Crotonaldehyde;Amidated;Delta:H(2)C(2);Cys->Dha;Hex;Cation:Cu[I];PET;Carboxy;HNE;SecCarbamidomethyl","Biological;Biomedical"
"PMDX006027","PXD006027","brain","spleen;brain;breast","PAT-H-MS coupled with laser microdissection to study histone post-translational modifications in selected cell populations from pathology samples","Aberrations in histone post-translational modifications (hPTMs) ","2017-07-17","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)","Q Exactive HF","dimethylated residue;monomethylated residue;trimethylated residue;acetylated residue","Technical;Biomedical"
"PMDX006027","PXD006027","breast","spleen;brain;breast","PAT-H-MS coupled with laser microdissection to study histone post-translational modifications in selected cell populations from pathology samples","Aberrations in histone post-translational modifications (hPTMs) ","2017-07-17","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)","Q Exactive HF","dimethylated residue;monomethylated residue;trimethylated residue;acetylated residue","Technical;Biomedical"
"PMDX006027","PXD006027","spleen","spleen;brain;breast","PAT-H-MS coupled with laser microdissection to study histone post-translational modifications in selected cell populations from pathology samples","Aberrations in histone post-translational modifications (hPTMs) ","2017-07-17","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)","Q Exactive HF","dimethylated residue;monomethylated residue;trimethylated residue;acetylated residue","Technical;Biomedical"
"PMDX006109","PXD006109","blood plasma","blood plasma;HeLa cell;brain","BoxCar acquisition method enables single shot proteomics at a depth of 10,000 proteins in 100 minutes","Great advances have been made in sensitivity and acquisition spe","2018-05-02","PARTIAL","0","Homo sapiens (Human);Escherichia coli;Mus musculus (Mouse)","Q Exactive","iodoacetamide derivatized residue;monohydroxylated residue","Technical"
"PMDX006109","PXD006109","non tissue","blood plasma;HeLa cell;brain","BoxCar acquisition method enables single shot proteomics at a depth of 10,000 proteins in 100 minutes","Great advances have been made in sensitivity and acquisition spe","2018-05-02","PARTIAL","0","Homo sapiens (Human);Escherichia coli;Mus musculus (Mouse)","Q Exactive","iodoacetamide derivatized residue;monohydroxylated residue","Technical"
"PMDX006122","PXD006122","brain","brain","Proteomics on post-mortem human brain tissue of patients with Alzheimer`s, Parkinson`s and Lewy body dementias.","We have used HiRIEF (High Resolution Isoelectric Focusing) LC-MS","2017-12-08","PARTIAL","0","Homo sapiens (Human)","Q Exactive","iodoacetamide derivatized residue;TMT6plex-126 reporter+balance reagent acylated residue;monohydroxylated residue","Biomedical"
"PMDX006233","PXD006233","brain","brain","uDPMs in AD+CVD","In this study we have profiled the temporal lobe proteome of AD+","2017-09-11","PARTIAL","0","Homo sapiens (Human)","LTQ Orbitrap Elite","deaminated residue;carbamoylated residue","Biomedical"
"PMDX006471","PXD006471","brain","thyroid gland;brain","A Comprehensive map and functional annotation of human pituitary and thyroid proteome","A Comprehensive map and functional annotation of human pituitary","2017-07-07","COMPLETE","80","Homo sapiens (Human)","TripleTOF 5600","iodoacetamide derivatized residue","Biological"
"PMDX006471","PXD006471","thyroid gland","thyroid gland;brain","A Comprehensive map and functional annotation of human pituitary and thyroid proteome","A Comprehensive map and functional annotation of human pituitary","2017-07-07","COMPLETE","80","Homo sapiens (Human)","TripleTOF 5600","iodoacetamide derivatized residue","Biological"
"PMDX006607","PXD006607","brain","brain","Proteomic analysis of human Medulloblastoma reveals distinct activated pathways between subgroups","Deregulations in fundamental signaling pathways are key events i","2018-09-10","PARTIAL","0","Homo sapiens (Human)","Orbitrap Fusion","phosphorylated residue","Biomedical"
"PMDX006798","PXD006798","brain","brain","Synaptosomal proteome from schizophrenia patients","Proteomic characterization of the synaptosome fraction of the or","2017-09-29","PARTIAL","0","Homo sapiens (Human)","LTQ Orbitrap Velos;Q Exactive","iodoacetamide derivatized residue;monohydroxylated residue","Chromosome-centric Human Proteome Project (C-HPP);Human Proteome Project"
"PMDX007235","PXD007235","brain","brain","Extensive and systematic rewiring of histone post-translational modifications in cancer model systems","Histone post-translational modifications (PTMs) generate a compl","2018-04-06","PARTIAL","0","Homo sapiens (Human)","Q Exactive","monomethylated residue;acetylated residue","Biological;Biomedical"
"PMDX007694","PXD007694","brain","brain","Characterization of detergent insoluble proteome in chronic traumatic encephalopathy","Proteomic sequencing of postmortem human brain can identify dysf","2017-11-27","PARTIAL","0","Homo sapiens (Human)","Orbitrap Fusion ETD","iodoacetamide derivatized residue;monohydroxylated residue;deamidated residue","Biological"
"PMDX008003","PXD008003","non tissue","lung;kidney;cell culture;spleen;liver;testis;brain;skeletal muscle;heart","Endogenous, in vivo, and site-specific characterization of the SUMO architecture across species and organs","Small ubiquitin-like modifiers (SUMOs) are post-translational mo","2018-06-26","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)","Q Exactive HF","sumoylated lysine","Biological"
"PMDX008003","PXD008003","heart","lung;kidney;cell culture;spleen;liver;testis;brain;skeletal muscle;heart","Endogenous, in vivo, and site-specific characterization of the SUMO architecture across species and organs","Small ubiquitin-like modifiers (SUMOs) are post-translational mo","2018-06-26","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)","Q Exactive HF","sumoylated lysine","Biological"
"PMDX008003","PXD008003","kidney","lung;kidney;cell culture;spleen;liver;testis;brain;skeletal muscle;heart","Endogenous, in vivo, and site-specific characterization of the SUMO architecture across species and organs","Small ubiquitin-like modifiers (SUMOs) are post-translational mo","2018-06-26","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)","Q Exactive HF","sumoylated lysine","Biological"
"PMDX008003","PXD008003","liver","lung;kidney;cell culture;spleen;liver;testis;brain;skeletal muscle;heart","Endogenous, in vivo, and site-specific characterization of the SUMO architecture across species and organs","Small ubiquitin-like modifiers (SUMOs) are post-translational mo","2018-06-26","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)","Q Exactive HF","sumoylated lysine","Biological"
"PMDX008003","PXD008003","lung","lung;kidney;cell culture;spleen;liver;testis;brain;skeletal muscle;heart","Endogenous, in vivo, and site-specific characterization of the SUMO architecture across species and organs","Small ubiquitin-like modifiers (SUMOs) are post-translational mo","2018-06-26","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)","Q Exactive HF","sumoylated lysine","Biological"
"PMDX008003","PXD008003","muscle","lung;kidney;cell culture;spleen;liver;testis;brain;skeletal muscle;heart","Endogenous, in vivo, and site-specific characterization of the SUMO architecture across species and organs","Small ubiquitin-like modifiers (SUMOs) are post-translational mo","2018-06-26","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)","Q Exactive HF","sumoylated lysine","Biological"
"PMDX008003","PXD008003","spleen","lung;kidney;cell culture;spleen;liver;testis;brain;skeletal muscle;heart","Endogenous, in vivo, and site-specific characterization of the SUMO architecture across species and organs","Small ubiquitin-like modifiers (SUMOs) are post-translational mo","2018-06-26","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)","Q Exactive HF","sumoylated lysine","Biological"
"PMDX008003","PXD008003","testis","lung;kidney;cell culture;spleen;liver;testis;brain;skeletal muscle;heart","Endogenous, in vivo, and site-specific characterization of the SUMO architecture across species and organs","Small ubiquitin-like modifiers (SUMOs) are post-translational mo","2018-06-26","PARTIAL","0","Homo sapiens (Human);Mus musculus (Mouse)","Q Exactive HF","sumoylated lysine","Biological"
"PMDX008022","PXD008022","non tissue","brain","Glioma proteome organization under oncolytic adenoviral infection","Glioblastoma multiforme (GBM) is the most common and aggressive ","2018-10-22","PARTIAL","0","Homo sapiens (Human)","TripleTOF 5600","iTRAQ8plex-116 reporter+balance reagent acylated residue;monohydroxylated residue;acetylated residue","Biomedical"
"PMDX008022","PXD008023","non tissue","brain","nuclear proteomics of glioma cells infected with an oncolytic adenovirus","Glioblastoma multiforme (GBM) is the most common and aggressive ","2018-10-22","PARTIAL","0","Homo sapiens (Human)","TripleTOF 5600","iodoacetamide derivatized residue;monohydroxylated residue","Biomedical"
"PMDX008036","PXD008036","brain","brain","Olfactory proteomics in Parkinson disease","Olfactory dysfunction is one of the earliest features in Lewy-ty","2018-10-24","PARTIAL","0","Homo sapiens (Human)","TripleTOF 5600","iodoacetamide derivatized residue;monohydroxylated residue;acetylated residue","Biological;Biomedical"
"PMDX008127","PXD008127","brain","brain","Identification of tumor antigens among the HLA peptidomes of Glioblastoma tumors and plasma","Glioblastoma multiforme (GBM) is the most aggressive brain tumor","2018-08-06","PARTIAL","0","Homo sapiens (Human)","Q Exactive","iodoacetamide derivatized residue;monohydroxylated residue;acetylated residue","Biomedical"
"PMDX008311","PXD008311","non tissue","brain","The impact of oncogenic EGFRvIII on the proteome of extracellular vesicles (exosomes) released from glioblastoma cells","Glioblastoma multiforme (GBM) is a highly aggressive and heterog","2018-07-30","COMPLETE","6","Homo sapiens (Human)","Orbitrap Fusion","Carboxymethyl;Oxidation;Deamidated",""
"PMDX008625","PXD008625","brain","liver;brain","Cracking the code of an elusive key protein modification at structural and genome scales","Characterization of Myristoylated proteins in human brain and li","2018-06-18","PARTIAL","0","Homo sapiens (Human)","LTQ Orbitrap Velos;TripleTOF 5600","myristoylated residue;iodoacetamide derivatized residue;monohydroxylated residue;N-acetylated residue","Biological"
"PMDX008625","PXD008625","liver","liver;brain","Cracking the code of an elusive key protein modification at structural and genome scales","Characterization of Myristoylated proteins in human brain and li","2018-06-18","PARTIAL","0","Homo sapiens (Human)","LTQ Orbitrap Velos;TripleTOF 5600","myristoylated residue;iodoacetamide derivatized residue;monohydroxylated residue;N-acetylated residue","Biological"
"PMDX008855","PXD008855","non tissue","articular cartilage;brain","Proteoglycan sequencing","Proteoglycans are distributed in all animal tissues and play cri","2018-05-22","COMPLETE","4","Homo sapiens (Human);Bos taurus (Bovine)","Q Exactive","Carbamidomethyl;Phospho","Biological"
"PMDX008855","PXD008855","joint","articular cartilage;brain","Proteoglycan sequencing","Proteoglycans are distributed in all animal tissues and play cri","2018-05-22","COMPLETE","4","Homo sapiens (Human);Bos taurus (Bovine)","Q Exactive","Carbamidomethyl;Phospho","Biological"
"PMDX008970","PXD008970","bone marrow","smooth muscle;stomach;testis;kidney;pancreas;adrenal gland;fat body;tonsil;liver;spleen;urinary bladder;uterine endometrium;vermiform appendix;gall bladder;brain;duodenum;heart;bone marrow;salivary gland;lung;ovary;lymph node;colon;placenta;rectum;small intestine;esophagus","Protein citrullination in human tissues","Citrullination is a post-translational modification of arginine ","2018-04-04","PARTIAL","0","Homo sapiens (Human)","Thermo Scientific instrument model;Q Exactive","L-citrulline;iodoacetamide derivatized residue;monohydroxylated residue;deamidated residue;N-acetylated residue","ProteomeTools;Biological"
"PMDX008970","PXD008970","brain","smooth muscle;stomach;testis;kidney;pancreas;adrenal gland;fat body;tonsil;liver;spleen;urinary bladder;uterine endometrium;vermiform appendix;gall bladder;brain;duodenum;heart;bone marrow;salivary gland;lung;ovary;lymph node;colon;placenta;rectum;small intestine;esophagus","Protein citrullination in human tissues","Citrullination is a post-translational modification of arginine ","2018-04-04","PARTIAL","0","Homo sapiens (Human)","Thermo Scientific instrument model;Q Exactive","L-citrulline;iodoacetamide derivatized residue;monohydroxylated residue;deamidated residue;N-acetylated residue","ProteomeTools;Biological"
"PMDX008970","PXD008970","fat body","smooth muscle;stomach;testis;kidney;pancreas;adrenal gland;fat body;tonsil;liver;spleen;urinary bladder;uterine endometrium;vermiform appendix;gall bladder;brain;duodenum;heart;bone marrow;salivary gland;lung;ovary;lymph node;colon;placenta;rectum;small intestine;esophagus","Protein citrullination in human tissues","Citrullination is a post-translational modification of arginine ","2018-04-04","PARTIAL","0","Homo sapiens (Human)","Thermo Scientific instrument model;Q Exactive","L-citrulline;iodoacetamide derivatized residue;monohydroxylated residue;deamidated residue;N-acetylated residue","ProteomeTools;Biological"
